nama_sample,ph_label,ppm_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,ntu_sensor,suhu
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49027.50,2.4688,13686.10,0.6892,0.6337,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49089.90,2.4719,13237.80,0.6666,0.6130,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49067.40,2.4708,13746.70,0.6922,0.6365,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48865.80,2.4606,14806.40,0.7456,0.6856,2176,1.7536,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49029.10,2.4688,14022.20,0.7061,0.6493,2159,1.7399,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49482.00,2.4917,12922.90,0.6507,0.5984,2166,1.7455,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48947.50,2.4647,14468.50,0.7286,0.6692,2162,1.7423,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49579.60,2.4966,13966.20,0.7033,0.6467,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49554.00,2.4953,13550.00,0.6823,0.6274,2160,1.7407,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49262.80,2.4806,14033.20,0.7066,0.6490,2161,1.7415,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48926.70,2.4637,14800.00,0.7453,0.6845,2160,1.7407,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49126.70,2.4738,13642.70,0.6870,0.6317,2182,1.7584,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49240.30,2.4795,13132.20,0.6613,0.6081,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49237.20,2.4793,13858.90,0.6979,0.6417,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49197.10,2.4773,13937.10,0.7018,0.6453,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49261.10,2.4805,13237.90,0.6666,0.6130,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49211.50,2.4780,13924.50,0.7012,0.6447,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49157.10,2.4753,13826.90,0.6963,0.6402,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49208.30,2.4779,13209.00,0.6651,0.6116,2161,1.7415,0.00,29.38
